MSOA11CD,MSOA11NM,Local authority,covid_19_deaths,covid_19_deaths_per_thousand,total_population_mid_2018,over_70_prop,proportion_at_risk_jobs,insecure_proportion,all_bame_prop,all_black_prop,pakistani_or_bangladeshi_prop,all_indian_prop,child_poverty_prop,total_registered_patients,Hypertension,Obesity (18+),Diabetes,Asthma,Coronary heart disease
E02000133,Bromley 007,Bromley,4,0.377109456,10607,0.161968511,0.175191816,0.095907928,0.120861961,0.020820321,0.00843223,0.037997085,0.049951503,11364,12.21,4.57,3.74,4.78,2.62
E02000134,Bromley 008,Bromley,7,0.586313762,11939,0.090124801,0.226936952,0.149802439,0.169776293,0.051239209,0.006126427,0.024691358,0.126254181,12820,11.21,4.76,3.95,4.06,2.38
E02000135,Bromley 009,Bromley,7,0.664325709,10537,0.063775268,0.300519358,0.279981114,0.434970208,0.283542223,0.020341073,0.015615369,0.191056911,11160,10.36,7.23,4.71,4.52,1.84
E02000136,Bromley 010,Bromley,8,1.390095569,5755,0.172545613,0.261934939,0.212505281,0.150488827,0.039280726,0.022870112,0.021822626,0.148858447,5996,12.47,7.42,4.49,5.17,2.8
E02000137,Bromley 011,Bromley,6,0.70663055,8491,0.151218938,0.227624577,0.127237542,0.151801687,0.039611551,0.004600051,0.02862254,0.079896907,8643,10.93,4.17,3.63,4,2.18
E02000138,Bromley 012,Bromley,5,0.583294447,8572,0.183504433,0.199299883,0.108284714,0.142641129,0.038810484,0.005922379,0.025453629,0.065735415,9129,11.94,4.68,3.79,4.71,2.43
E02000139,Bromley 013,Bromley,5,0.636780438,7852,0.085328579,0.233309056,0.153192522,0.1684514,0.06630972,0.008786381,0.014552444,0.07504576,8550,10.37,5.22,3.74,5.12,2.11
E02000140,Bromley 014,Bromley,5,0.571493885,8749,0.091096125,0.289913366,0.307240099,0.156572566,0.084442234,0.009451561,0.007088671,0.223441615,9114,13.02,10.08,5.17,5.57,2.98
E02000141,Bromley 015,Bromley,3,0.403280011,7439,0.080118295,0.260786974,0.19972863,0.303746398,0.165994236,0.017291066,0.01815562,0.138368984,7768,10.71,6.58,4.47,4.98,2.12
E02000142,Bromley 016,Bromley,4,0.452488688,8840,0.124886878,0.234225621,0.141013384,0.147857574,0.034520217,0.006638503,0.036330718,0.069915254,9309,10.21,4.34,3.62,4.18,2.27
E02000144,Bromley 018,Bromley,4,0.405227434,9871,0.105257826,0.223110924,0.134077036,0.195945168,0.047344776,0.006796452,0.039165995,0.088888889,10392,10.1,3.71,3.73,3.92,2.07
E02000145,Bromley 019,Bromley,1,0.109015589,9173,0.088520658,0.28278565,0.284293036,0.193420727,0.113653228,0.006678209,0.009522632,0.230204082,9410,13.39,9.23,5.01,4.93,2.75
E02000146,Bromley 020,Bromley,7,0.735603195,9516,0.114123581,0.235524798,0.167012687,0.130826526,0.032916867,0.006246997,0.01741951,0.10178117,10229,11.09,5.71,3.88,4.47,2.43
E02000147,Bromley 021,Bromley,5,0.602918124,8293,0.149764862,0.235714286,0.123015873,0.142426904,0.025222738,0.009285983,0.030995106,0.0541495,8812,11.25,4.16,3.7,4.19,2.24
E02000148,Bromley 022,Bromley,1,0.148367953,6740,0.158160237,0.22459382,0.14144632,0.113439636,0.023690205,0.004555809,0.023538345,0.059427733,7120,12.65,5.83,4.12,5.2,2.64
E02000149,Bromley 023,Bromley,5,0.616446801,8111,0.11367279,0.274113082,0.224778271,0.119097042,0.05150493,0.004929943,0.010768033,0.160500854,8412,12.4,7.74,4.87,4.97,2.57
E02000150,Bromley 024,Bromley,1,0.115380178,8667,0.119072343,0.263119176,0.175821481,0.164171955,0.062148246,0.008142737,0.015327506,0.065265487,9135,11.45,4.52,3.92,5.4,2.42
E02000151,Bromley 025,Bromley,2,0.261267146,7655,0.166557805,0.210055866,0.134357542,0.088988645,0.013731186,0.005809348,0.022709269,0.054811982,8073,13.18,5.38,4.21,5.21,2.63
E02000152,Bromley 026,Bromley,0,0,7927,0.100290148,0.304212707,0.239986188,0.160073037,0.061168594,0.010499087,0.012020694,0.155837563,8422,12.75,7.2,4.31,5.34,2.86
E02000153,Bromley 027,Bromley,1,0.126374321,7913,0.137495261,0.257814518,0.173856885,0.085106383,0.023726628,0.00412637,0.012765957,0.063716814,8613,13.5,4.74,3.89,4.59,2.59
E02000154,Bromley 028,Bromley,0,0,8509,0.142672464,0.243695381,0.174781523,0.130418394,0.02977761,0.007789923,0.025254429,0.106268657,9043,12.93,5.95,4.61,5.32,2.73
E02000155,Bromley 029,Bromley,3,0.430230891,6973,0.189731823,0.26442456,0.224930577,0.103692976,0.040115858,0.005068791,0.011585807,0.147413793,7527,14.02,7.17,5.15,5.29,2.9
E02000156,Bromley 030,Bromley,9,0.735354196,12239,0.174033826,0.252985329,0.158990106,0.106085662,0.025467174,0.004713081,0.018852323,0.067034366,13221,13.42,5.2,4.23,4.53,2.84
E02000157,Bromley 031,Bromley,7,0.847252481,8262,0.180827887,0.232633279,0.14189553,0.080236062,0.009668508,0.007282772,0.017830236,0.058014354,8816,14.33,6.33,4.58,5.32,3.18
