ID,Borough,Ward,Constituency,Turnout,Ward Level Electorate,Winner,Sadiq Aman Khan - Labour Party,% Children aged 0-15,% Working-age 16-64,% Older people aged 65+,Median Age 2013,Population density 2013,% BAME 2011,% Not Born in UK 2011,General Fertility Rate 2013,Male life expectancy 2009_13,Female life expectancy 2009-13 ,% children in reception obese 2011_14,% children year 6 obese- 2011_14,"Rate Ambulance Incidents per 1,000 population - 2014",In employment (16-64) 2011,Number of jobs in area - 2013,Rate new migrant workers - 2011/12,No properties sold 2014,Median Household income 2012/13,% semi-detached houses 2011,% Households Private Rented 2011,% dwellings CT bands A or B 2015,"% dwellings CT bands F, G or H - 2015",Rate Claimant Housing Benefit 2015,Rate JobSeekers Allowance 2015,% dependent children in out-of-work households 2014,% Households No adults Employment dependent children 2011,% Lone parents no employment 2011,Average GCSE capped point scores 2014,% No qualifications 2011,% Level 4 and above qualifications 2011,Crime rate 2014_15,% area that is open space - 2014,Average Public Transport Accessibility score 2014,Turnout at Mayoral election 2012
116,Camden,Highgate,Barnet & Camden,"3,757","7,062",Sadiq Aman Khan,1975,16.44117911,67.26099812,16.29782278,40,3484.4,20.2,27.1,55.83333333,83.26636365,86.60667922,5.263157895,13.5021097,104.8492792,5163,2500,16.21621622,131,47840,9.4,16.8,7.815631263,31.86372745,12.86204677,2.238677458,16.08695652,4.69924812,47.40061162,316.031746,12.6,55.8,81.01084327,65.24213754,3.929575932,46.04172621
117,Camden,Holborn And Covent Garden,Barnet & Camden,"3,068","7,543",Sadiq Aman Khan,1743,12.66238505,77.07633922,10.26127573,33,11250,39.8,45.6,31.54929577,79.36615442,90.23465679,9.019607843,25.53191489,262.7653471,6266,114000,52.26130653,135,40180,0.7,32.2,5.974395448,28.16500711,15.19218025,2.127367554,23.25,4.236179261,54.49101796,339.00625,12.9,46.2,310.9984571,7.499051898,7.90952094,37.22461042
118,Camden,Kentish Town,Barnet & Camden,"4,292","8,888",Sadiq Aman Khan,2614,15.38128874,75.01081159,9.607899668,33,13750,28.4,34.2,36.75,76.69880099,80.36526516,6.460674157,19.25675676,121.608112,7131,11600,36.64921466,159,41230,5.4,29.7,15.44991511,20.88285229,13.02337313,1.96584347,21.8,5.126877266,54.82352941,305.156701,13.6,54.6,88.97876643,5.343179898,5.653912568,40.16538689
119,Camden,Kilburn,Barnet & Camden,"2,989","7,613",Sadiq Aman Khan,1681,17.69510716,70.73999191,11.56490093,33,17500,40.1,47.9,61.51515152,76.75192798,80.26930618,13.43669251,22.08201893,157.6802508,5745,3900,60.11560694,165,34730,2,32.8,36.45007924,8.082408875,23.93495626,3.957783641,31.92307692,6.738450851,56.01659751,313.9913333,17.4,43.8,110.7328145,13.44600742,5.544464254,34.62655054
120,Camden,King's Cross,Barnet & Camden,"2,383","5,972",Sadiq Aman Khan,1477,12.81314824,79.67927238,7.507579384,27,20833.3,49.2,50.9,24.04761905,80.12162132,87.99821211,10.94527363,21.21212121,139.2373721,4277,18200,75.2688172,116,32890,0.9,33.2,18.77394636,13.2183908,13.81503988,3.336921421,17.11111111,5.267740531,42.60204082,322.0491935,12.1,39.7,122.437495,13.46054402,7.778819845,32.79194631
121,Camden,Regent's Park,Barnet & Camden,"3,095","7,781",Sadiq Aman Khan,1850,14.80171417,76.02884158,9.169444255,29,10961.5,44.3,45.2,43.07692308,77.09850009,84.72113643,12.57861635,26.13981763,201.5827338,5474,33800,76.78571429,85,34260,1.9,29.2,18.71069182,15.25157233,15.58441558,3.103239479,24.33962264,5.498036416,48.0952381,319.7840237,17.5,36.1,131.3025941,26.97490261,6.808654901,34.88255244
122,Camden,St Pancras And Somers Town,Barnet & Camden,"3,565","8,869",Sadiq Aman Khan,2379,17.66884801,74.01531053,8.315841462,29,10785.7,49,42.4,41.95652174,77.37646425,81.66854291,12.32604374,24.46351931,272.8873239,5173,17000,65.2173913,80,30500,1.5,20.7,13.32335329,8.532934132,20.28952029,3.618468664,35.52238806,8.929849678,58.13559322,313.5797297,22.7,29.5,93.52234692,13.56780552,7.067932684,35.80581567
123,Camden,Swiss Cottage,Barnet & Camden,"3,077","7,516",Sadiq Aman Khan,1313,16.81576952,71.3419257,11.84230478,34,10076.9,32.4,51.2,62.19178082,81.41978782,87.54767074,13.76146789,22.22222222,92.84615948,6710,4400,59.89010989,217,50340,3.3,39.8,7.478005865,40.02932551,8.969162996,1.713457229,13.39622642,3.822525597,58.51851852,305.1346535,9,60.4,69.97416806,14.4541163,6.166429566,33.15628735
124,Camden,West Hampstead,Barnet & Camden,"3,358","7,737",Sadiq Aman Khan,1612,13.14636284,77.64321568,9.21042148,33,13722.2,30.5,43.3,42.02531646,80.68881286,85.92128268,6.140350877,15.97633136,100.2092724,7259,4500,55.05617978,158,46290,3.2,43.7,12.29508197,14.75409836,11.89344336,2.067120623,20.54054054,3.687265278,48.01324503,328.3084211,9.5,60.6,77.63252867,9.426408776,6.044165192,36.70919032
125,Barking & Dagenham,Abbey,City & East,"2,727","7,483",Sadiq Aman Khan,1818,25.95834181,69.01418007,5.027478119,29,10500,71.9,57.3,97.64705882,80.16062206,83.93105213,13.34269663,24.71655329,157.3329324,5444,9500,108.6956522,151,33920,7.2,38.6,45.23809524,0,16.14512028,4.015466984,22.07792208,8.748906387,55.31062124,317.6577586,16.4,34.5,138.1392304,21.90860132,5.989364918,25.68894145
126,Barking & Dagenham,Alibon,City & East,"1,686","6,093",Sadiq Aman Khan,671,25.70133182,64.27694342,10.02172476,33,7428.6,29.9,24.7,83.26530612,77.19823105,80.61463443,9.966216216,25.99531616,139.8150743,4143,1000,31.14754098,119,32470,18.2,15.9,9.661835749,0,17.68501449,3.690793521,24.71428571,12.44019139,60.99518459,307.4457317,31.2,16.7,73.58976806,20.62184945,3.145890095,20.34792528
127,Barking & Dagenham,Becontree,City & East,"2,399","7,584",Sadiq Aman Khan,1164,25.37042875,65.91267339,8.716897856,32,9269.2,41.2,30.1,101.0526316,78.95444815,79.33514751,12.33082707,29.25851703,130.1451344,4598,1300,38.55421687,191,33000,24.7,20.1,13.43570058,0,16.3798279,3.593188564,22.02380952,10.73182137,51.51057402,295.4513812,28,20.6,79.90414807,1.885447698,2.8717665,22.53821097
128,Barking & Dagenham,Chadwell Heath,City & East,"2,090","6,070",Sadiq Aman Khan,940,24.32692308,61.5,14.17307692,34,2985.3,37.9,24.8,73.63636364,79.17945936,82.19418893,12.80991736,24.58563536,139.1028109,3819,1900,26.27118644,108,33920,29.6,12.4,33.82716049,0.24691358,15.11750726,3.71422329,24.33333333,10.14713343,55.23978686,293.4378378,29.1,19.5,76.12524462,55.97450742,2.260909461,25.31881358
129,Barking & Dagenham,Eastbrook,City & East,"2,009","6,566",Sadiq Aman Khan,693,20.09658247,65.66679049,14.23662704,36,3028.6,24.8,19,73.18181818,77.10791119,81.12408127,12.55605381,21.5625,147.794994,4592,4000,18.43971631,129,37400,32.6,11.2,14.77832512,0.492610837,12.07086133,3.993154592,20.36363636,6.663236429,48.69791667,305.9482759,29.9,18.5,66.66666667,50.43417889,2.30571916,24.1214693
130,Barking & Dagenham,Eastbury,City & East,"2,080","6,590",Sadiq Aman Khan,1095,25.24997899,65.17099403,9.579026973,32,8357.1,41.7,32.2,87.63636364,78.89309339,84.94536287,11.52,26.51356994,113.0377343,4546,1200,48.92086331,105,32870,21,17.3,18.85057471,0,16.935769,3.628582062,22.32876712,11.11891386,52.45901639,315.6670659,28.9,20,82.15682939,17.10893532,2.731589089,21.51487593
131,Barking & Dagenham,Gascoigne,City & East,"1,992","5,577",Sadiq Aman Khan,1261,32.04165352,62.60018933,5.358157147,29,12772.7,60.4,48.2,92.85714286,75.51197868,81.0656022,16.21966794,28.98832685,136.0570891,4382,2900,69.56521739,87,29480,6.8,18.3,59.44798301,0,20.13371328,4.141501294,22.85714286,14.74703983,57.17539863,300.6715328,25.5,25.2,75.82736872,20.78459309,3.232882536,25.59209636
132,Barking & Dagenham,Goresbrook,City & East,"1,834","6,518",Sadiq Aman Khan,821,25.94142259,63.20606695,10.85251046,33,8692.3,33.3,26.8,86.15384615,77.45969394,82.83257209,16.19190405,25.16411379,136.628405,4544,1300,27.39726027,109,33250,17.4,15.8,11.23853211,0,17.74193548,3.541347626,23.8961039,11.11111111,57.33944954,302.2272727,30,18.8,74.83711921,14.07856348,2.455199663,20.50673001
133,Barking & Dagenham,Heath,City & East,"1,870","6,329",Sadiq Aman Khan,826,26.16805668,62.29037754,11.54156578,32,5475,32.3,24.1,88.4,76.50436584,80.11135496,15.03378378,26.01809955,188.0021425,4043,3100,30,105,31340,18.9,11.3,36.24161074,0,19.56200787,3.897661403,23.42465753,11.74426685,55.41490858,297.3286885,32.1,17.6,83.65296804,36.32988948,2.652043746,22.24054983
134,Barking & Dagenham,Longbridge,City & East,"2,995","7,048",Sadiq Aman Khan,1767,21.73109244,66.04201681,12.22689076,32,7281.3,57.4,33.3,81.13207547,78.67316975,85.71976635,11.41078838,24.88584475,118.3564834,4894,1300,39.84962406,120,40570,23.1,15.3,12.1761658,7.512953368,7.252472434,2.281438219,10.625,4.919354839,44.53125,337.7835227,22.7,25,57.00145064,28.32249935,3.060909897,30.60747664
135,Barking & Dagenham,Mayesbrook,City & East,"1,638","6,001",Sadiq Aman Khan,711,26.90408357,62.07977208,11.01614435,33,5473.7,31.2,25,90.21276596,76.75601444,83.26307792,12.56544503,24.30555556,136.3465866,3978,1100,33.60655738,95,31530,21.8,15.6,12.43781095,0,18.18910256,3.613177471,22.36111111,11.03763988,54.20875421,305.4440299,32.1,16.2,67.90064256,44.75723751,2.49590147,20.53298384
136,Barking & Dagenham,Parsloes,City & East,"1,617","5,717",Sadiq Aman Khan,675,25.17148822,63.68426285,11.14424893,33,8250,30.9,23.3,76.88888889,76.10565085,83.45778917,14.84794275,26.53061224,144.3085421,3785,700,31.85840708,115,31860,19.8,14.1,13.10160428,0,17.05049945,4.051316678,23.33333333,11.76006314,58.39285714,312.2058394,31.8,16,56.76110106,17.40086046,2.695405293,19.3047889
137,Barking & Dagenham,River,City & East,"1,719","5,899",Sadiq Aman Khan,814,26.46567563,63.60447637,9.929848004,32,3166.7,38.4,30.9,83.07692308,74.99362595,78.21800444,17.21958926,30.17456359,137.8914865,4420,5100,31.72413793,132,33490,19,20.6,10.66997519,0,14.62811959,3.390158853,21.75675676,10.20408163,51.17449664,300.1892857,29.9,19.5,85.03579536,20.48583218,3.009724388,22.37675571
138,Barking & Dagenham,Thames,City & East,"2,240","6,549",Sadiq Aman Khan,1307,32.46520456,62.54744833,4.987347111,28,1867.1,54.9,37.2,62.93333333,76.21483816,83.97526956,15.61514196,26.96177062,140.1143442,4081,9700,38.21138211,174,32580,15.7,17.5,29.45054945,0,16.98038439,4.031666911,20.78651685,12.92035398,57.33333333,306.9984733,24.1,24.4,95.58476576,43.83227797,2.133878387,22.1352536
139,Barking & Dagenham,Valence,City & East,"1,800","6,209",Sadiq Aman Khan,844,25.48330404,63.19078305,11.32591291,34,7692.3,31.5,23.3,91.73913043,76.51997213,80.81268633,12.23404255,24.57831325,133.661527,3873,1900,31.25,94,33200,21.5,13.8,12.08530806,0,19.10185065,2.538586515,22.75362319,10.06305833,49.81412639,302.9649254,32.1,17.8,68.25428458,11.7891087,3.221850725,20.25824964
140,Barking & Dagenham,Village,City & East,"1,927","6,271",Sadiq Aman Khan,808,24.80971366,64.12649511,11.06379123,33,5166.7,34.8,26,92,75.90225753,80.89311966,12.90322581,27.88944724,155.1358821,4242,1200,27.13178295,120,31960,20.3,17.4,50.87336245,0,18.59493982,4.023552502,25.15151515,10.55844449,53.77906977,301.5692308,30.3,17.9,90.8255194,47.04385632,2.686579749,23.69668246
141,Barking & Dagenham,Whalebone,City & East,"2,135","6,235",Sadiq Aman Khan,939,23.70377004,64.51150712,11.78472284,34,6781.3,44,29.2,84.8,79.94829559,87.2129154,12.76150628,22.82608696,128.6722029,4617,2700,32.84671533,144,37180,18.4,22.3,23.35766423,0.243309002,10.55480379,2.633559067,14.92063492,7.579954671,47.25738397,310.8455285,24,22.4,72.36781609,16.03445908,2.903827444,25.88459445
